"","KO","Gene_identification","A","B","C","D","Target","Target_2","Category","GeneID","Full_GeneName","Notes"
"11","K15102","SLC25A3, PHC, PIC; solute carrier family 25 (mitochondrial phosphate transporter), member 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","K00231","PPOX, hemY; protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]","Pathway module","Nucleotide and amino acid metabolism","Cofactor and vitamin biosynthesis","Heme biosynthesis, glutamate => protoheme/siroheme",NA,NA,NA,NA,NA,NA
"13","K05618","SLC1A7, EAAT5; solute carrier family 1 (glutamate transporter), member 7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","K10408","DNAH; dynein heavy chain, axonemal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","K03660","OGG1; N-glycosylase/DNA lyase [EC:3.2.2.- 4.2.99.18]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","K10599","PRPF19, PRP19; pre-mRNA-processing factor 19 [EC:2.3.2.27]","Structural complex","Genetic information processing","Spliceosome","Spliceosome, 35S U5-snRNP",NA,NA,NA,NA,NA,NA
"17","K10599","PRPF19, PRP19; pre-mRNA-processing factor 19 [EC:2.3.2.27]","Structural complex","Genetic information processing","Spliceosome","Spliceosome, Prp19/CDC5L complex",NA,NA,NA,NA,NA,NA
"18","K10739","RFA2, RPA2; replication factor A2","Structural complex","Genetic information processing","Replication system","RPA complex",NA,NA,NA,NA,NA,NA
"19","K11843","USP14, UBP6; ubiquitin carboxyl-terminal hydrolase 14 [EC:3.4.19.12]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","K10394","KIF3A; kinesin family member 3A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","K11594","DDX3X, bel; ATP-dependent RNA helicase DDX3X [EC:3.6.4.13]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","K02603","ORC1; origin recognition complex subunit 1","Structural complex","Genetic information processing","Replication system","Origin recognition complex",NA,NA,NA,NA,NA,NA
"23","K05657","ABCB10; ATP-binding cassette, subfamily B (MDR/TAP), member 10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","K10256","FAD2; omega-6 fatty acid desaturase / acyl-lipid omega-6 desaturase (Delta-12 desaturase) [EC:1.14.19.6 1.14.19.22]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","K17262","TBCB, CKAP1, ALF1; tubulin-folding cofactor B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","K18055","HIF1AN; hypoxia-inducible factor 1-alpha inhibitor (HIF hydroxylase) [EC:1.14.11.30]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","K02956","RP-S15, MRPS15, rpsO; small subunit ribosomal protein S15","Structural complex","Genetic information processing","Ribosome","Ribosome, bacteria",NA,NA,NA,NA,NA,NA
"28","K02956","RP-S15, MRPS15, rpsO; small subunit ribosomal protein S15","Structural complex","Genetic information processing","Ribosome","Ribosome, archaea",NA,NA,NA,NA,NA,NA
"29","K12492","ARFGAP1; ADP-ribosylation factor GTPase-activating protein 1",NA,NA,NA,NA,"Phagotrophy","Endocytosis","Endocytosis","ARFGAP1","ADP-ribosylation factor GTPase-activating protein 1","McKie-Krisberg et al. 2018; Yutin et al. 2009"
"30","K16055","TPS; trehalose 6-phosphate synthase/phosphatase [EC:2.4.1.15 3.1.3.12]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","K04498","EP300, CREBBP, KAT3; E1A/CREB-binding protein [EC:2.3.1.48]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","K07767","KATNA1; katanin p60 ATPase-containing subunit A1 [EC:3.6.4.3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","K00762","pyrE; orotate phosphoribosyltransferase [EC:2.4.2.10]","Pathway module","Nucleotide and amino acid metabolism","Pyrimidine metabolism","Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP",NA,NA,NA,NA,NA,NA
"34","K02728","PSMA4; 20S proteasome subunit alpha 3 [EC:3.4.25.1]","Structural complex","Genetic information processing","Proteasome","Proteasome, 20S core particle",NA,NA,NA,NA,NA,NA
"35","K02728","PSMA4; 20S proteasome subunit alpha 3 [EC:3.4.25.1]","Structural complex","Genetic information processing","Proteasome","Immunoproteasome",NA,NA,NA,NA,NA,NA
"36","K19502","ANO8, TMEM16H; anoctamin-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","K05293","PIGU; phosphatidylinositol glycan, class U",NA,NA,NA,NA,"Phagotrophy-other","other","phosphatidylinositol","PIGU","phosphatidylinositol glycan, class U",""
"38","K04596","BAI1; brain-specific angiogenesis inhibitor 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","K02981","RP-S2e, RPS2; small subunit ribosomal protein S2e","Structural complex","Genetic information processing","Ribosome","Ribosome, eukaryotes",NA,NA,NA,NA,NA,NA
"40","K00411","UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:1.10.2.2]","Structural complex","Energy metabolism","ATP synthesis","Cytochrome bc1 complex respiratory unit",NA,NA,NA,NA,NA,NA
"41","K00411","UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:1.10.2.2]","Structural complex","Energy metabolism","ATP synthesis","Cytochrome bc1 complex",NA,NA,NA,NA,NA,NA
"42","K01874","MARS, metG; methionyl-tRNA synthetase [EC:6.1.1.10]","Functional set","Metabolism","Aminoacyl tRNA","Aminoacyl-tRNA biosynthesis, prokaryotes",NA,NA,NA,NA,NA,NA
"43","K01874","MARS, metG; methionyl-tRNA synthetase [EC:6.1.1.10]","Functional set","Metabolism","Aminoacyl tRNA","Aminoacyl-tRNA biosynthesis, eukaryotes",NA,NA,NA,NA,NA,NA
"44","K19750","DNAAF1, LRRC50, ODA7; dynein assembly factor 1, axonemal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","K05850","ATP2B; Ca2+ transporting ATPase, plasma membrane [EC:3.6.3.8]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","K00844","HK; hexokinase [EC:2.7.1.1]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate","C metabolism","Gluconeogenesis-Glycolysis","Glycolysis","HK","hexokinase ",""
"47","K00844","HK; hexokinase [EC:2.7.1.1]","Pathway module","Carbohydrate and lipid metabolism","Other carbohydrate metabolism","Nucleotide sugar biosynthesis, glucose => UDP-glucose","C metabolism","Gluconeogenesis-Glycolysis","Glycolysis","HK","hexokinase ",""
"48","K03061","PSMC2, RPT1; 26S proteasome regulatory subunit T1","Structural complex","Genetic information processing","Proteasome","Proteasome, 19S regulatory particle (PA700)",NA,NA,NA,NA,NA,NA
"49","K02984","RP-S3Ae, RPS3A; small subunit ribosomal protein S3Ae","Structural complex","Genetic information processing","Ribosome","Ribosome, archaea",NA,NA,NA,NA,NA,NA
"50","K02984","RP-S3Ae, RPS3A; small subunit ribosomal protein S3Ae","Structural complex","Genetic information processing","Ribosome","Ribosome, eukaryotes",NA,NA,NA,NA,NA,NA
"51","K06115","SPTB; spectrin beta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","K14328","UPF3, RENT3; regulator of nonsense transcripts 3","Structural complex","Genetic information processing","RNA processing","Exon junction complex (EJC)",NA,NA,NA,NA,NA,NA
"53","K13210","FUBP; far upstream element-binding protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","K07119","K07119; uncharacterized protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","K19668","CBH2, cbhA; cellulose 1,4-beta-cellobiosidase [EC:3.2.1.91]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","K01081","E3.1.3.5; 5'-nucleotidase [EC:3.1.3.5]",NA,NA,NA,NA,"Nutrient processing","P metabolism","P metabolism","5-nucleotidase","5-nucleotidase",""
"57","K01225","CBH1; cellulose 1,4-beta-cellobiosidase [EC:3.2.1.91]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","K08334","BECN1, VPS30, ATG6; beclin 1",NA,NA,NA,NA,"Phagotrophy","Phagosome associated","Phagosome maturation","BECN1, VPS30, ATG6","Beclin 1","McKie-Krisberg et al. 2018"
"59","K08311","nudH; putative (di)nucleoside polyphosphate hydrolase [EC:3.6.1.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","K00939","adk, AK; adenylate kinase [EC:2.7.4.3]","Pathway module","Nucleotide and amino acid metabolism","Purine metabolism","Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",NA,NA,NA,NA,NA,NA
"61","K06942","ychF; ribosome-binding ATPase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","K07376","PRKG1; cGMP-dependent protein kinase 1 [EC:2.7.11.12]","Functional set","Environmental information processing","Cell signaling","cGMP signaling",NA,NA,NA,NA,NA,NA
"63","K01049","ACHE; acetylcholinesterase [EC:3.1.1.7]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","K01530","E3.6.3.1; phospholipid-translocating ATPase [EC:3.6.3.1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","K17943","PUM; pumilio RNA-binding family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","K17907","ATG9; autophagy-related protein 9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","K01698","hemB, ALAD; porphobilinogen synthase [EC:4.2.1.24]","Pathway module","Nucleotide and amino acid metabolism","Cofactor and vitamin biosynthesis","Heme biosynthesis, glutamate => protoheme/siroheme",NA,NA,NA,NA,NA,NA
"68","K09584","PDIA6, TXNDC7; protein disulfide-isomerase A6 [EC:5.3.4.1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","K02877","RP-L15e, RPL15; large subunit ribosomal protein L15e","Structural complex","Genetic information processing","Ribosome","Ribosome, archaea",NA,NA,NA,NA,NA,NA
"70","K02877","RP-L15e, RPL15; large subunit ribosomal protein L15e","Structural complex","Genetic information processing","Ribosome","Ribosome, eukaryotes",NA,NA,NA,NA,NA,NA
"71","K12611","DCP1B; mRNA-decapping enzyme 1B [EC:3.-.-.-]","Structural complex","Genetic information processing","RNA processing","Decapping complex",NA,NA,NA,NA,NA,NA
"72","K12164","UBA5, UBE1DC1; ubiquitin-like modifier-activating enzyme 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","K04565","SOD1; superoxide dismutase, Cu-Zn family [EC:1.15.1.1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","K17279","REEP5_6; receptor expression-enhancing protein 5/6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","K00510","HMOX, hmuO, ho; heme oxygenase (biliverdin-producing) [EC:1.14.14.18]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","K19673","TTC21B, IFT139; tetratricopeptide repeat protein 21B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","K17424","MRPL43; large subunit ribosomal protein L43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","K10357","MYO5; myosin V",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","K02934","RP-L6e, RPL6; large subunit ribosomal protein L6e","Structural complex","Genetic information processing","Ribosome","Ribosome, eukaryotes",NA,NA,NA,NA,NA,NA
"80","K08675","PRSS15, PIM1; Lon-like ATP-dependent protease [EC:3.4.21.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","K12452","ascC, ddhC, rfbH; CDP-4-dehydro-6-deoxyglucose reductase, E1 [EC:1.17.1.1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","K04508","TBL1; transducin (beta)-like 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","K00967","PCYT2; ethanolamine-phosphate cytidylyltransferase [EC:2.7.7.14]","Pathway module","Carbohydrate and lipid metabolism","Lipid metabolism","Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE",NA,NA,NA,NA,NA,NA
"84","K18060","MTPAP; poly(A) RNA polymerase, mitochondrial [EC:2.7.7.19]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","K07304","msrA; peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","K07390","grxD, GLRX5; monothiol glutaredoxin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","K01940","argG, ASS1; argininosuccinate synthase [EC:6.3.4.5]","Pathway module","Nucleotide and amino acid metabolism","Arginine and proline metabolism","Urea cycle","Nutrient processing","Organic N uptake and assimilation","Organic N uptake and assimilation","argG, ASS1","argininosuccinate synthase",""
"88","K01940","argG, ASS1; argininosuccinate synthase [EC:6.3.4.5]","Pathway module","Nucleotide and amino acid metabolism","Arginine and proline metabolism","Urea cycle","Nutrient processing","Urea cycle","Urea cycle","argG, ASS1","argininosuccinate synthase ",""
"89","K02146","ATPeV0D, ATP6D; V-type H+-transporting ATPase subunit d","Structural complex","Energy metabolism","ATP synthesis","V-type ATPase, eukaryotes","Phagotrophy","Lysosome associated","Lysosome binding and processing","ATPeV0D ATP6D","V-type H+-transporting ATPase subunit d","Mckie-Krisberg et al. 2018"
"90","K02146","ATPeV0D, ATP6D; V-type H+-transporting ATPase subunit d","Structural complex","Energy metabolism","ATP synthesis","V-type ATPase, eukaryotes","Phagotrophy","V-type ATPase","V-type ATPase","ATPeV0D, ATP6D","V-type H+-transporting ATPase subunit d",""
"91","K12608","CAF16; CCR4-NOT complex subunit CAF16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","K17928","SNX16; sorting nexin-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","K00021","HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]","Pathway module","Carbohydrate and lipid metabolism","Terpenoid backbone biosynthesis","C5 isoprenoid biosynthesis, mevalonate pathway",NA,NA,NA,NA,NA,NA
"94","K17681","ATAD3A_B; ATPase family AAA domain-containing protein 3A/B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","K04437","FLNA; filamin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","K11498","CENPE; centromeric protein E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","K11585","CBX1, HP1B, SWI6; chromobox protein 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","K03953","NDUFA9; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 9","Structural complex","Energy metabolism","ATP synthesis","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex",NA,NA,NA,NA,NA,NA
"99","K01312","PRSS1_2_3; trypsin [EC:3.4.21.4]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","K11099","SNRPG, SMG; small nuclear ribonucleoprotein G","Structural complex","Genetic information processing","Spliceosome","Spliceosome, U1-snRNP",NA,NA,NA,NA,NA,NA
"101","K11099","SNRPG, SMG; small nuclear ribonucleoprotein G","Structural complex","Genetic information processing","Spliceosome","Spliceosome, U2-snRNP",NA,NA,NA,NA,NA,NA
"102","K11099","SNRPG, SMG; small nuclear ribonucleoprotein G","Structural complex","Genetic information processing","Spliceosome","Spliceosome, U4/U6.U5 tri-snRNP",NA,NA,NA,NA,NA,NA
"103","K11099","SNRPG, SMG; small nuclear ribonucleoprotein G","Structural complex","Genetic information processing","Spliceosome","Spliceosome, 35S U5-snRNP",NA,NA,NA,NA,NA,NA
"104","K11099","SNRPG, SMG; small nuclear ribonucleoprotein G","Structural complex","Genetic information processing","Spliceosome","Sm core complex",NA,NA,NA,NA,NA,NA
"105","K13821","putA; RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.5.2 1.2.1.88]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","K11338","RUVBL2, RVB2, INO80J; RuvB-like protein 2 [EC:3.6.4.12]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","K00815","TAT; tyrosine aminotransferase [EC:2.6.1.5]","Pathway module","Nucleotide and amino acid metabolism","Cysteine and methionine metabolism","Methionine salvage pathway",NA,NA,NA,NA,NA,NA
"108","K00815","TAT; tyrosine aminotransferase [EC:2.6.1.5]","Pathway module","Nucleotide and amino acid metabolism","Aromatic amino acid metabolism","Tyrosine biosynthesis, chorismate => tyrosine",NA,NA,NA,NA,NA,NA
"109","K00643","E2.3.1.37, ALAS; 5-aminolevulinate synthase [EC:2.3.1.37]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","K00213","DHCR7; 7-dehydrocholesterol reductase [EC:1.3.1.21]","Pathway module","Carbohydrate and lipid metabolism","Sterol biosynthesis","Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol",NA,NA,NA,NA,NA,NA
"111","K00053","ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]","Pathway module","Nucleotide and amino acid metabolism","Branched-chain amino acid metabolism","Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine",NA,NA,NA,NA,NA,NA
"112","K00053","ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]","Pathway module","Nucleotide and amino acid metabolism","Branched-chain amino acid metabolism","Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine",NA,NA,NA,NA,NA,NA
"113","K00927","PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]","Pathway module","Energy metabolism","Carbon fixation","Reductive pentose phosphate cycle (Calvin cycle)","C metabolism","Calvin cycle","Calvin cycle","PGK, pgk","phosphoglycerate kinase ",""
"114","K00927","PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]","Pathway module","Energy metabolism","Carbon fixation","Reductive pentose phosphate cycle (Calvin cycle)","C metabolism","Gluconeogenesis-Glycolysis","Gluconeogenesis","PGK, pgk","phosphoglycerate kinase ",""
"115","K00927","PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]","Pathway module","Energy metabolism","Carbon fixation","Reductive pentose phosphate cycle (Calvin cycle)","C metabolism","Gluconeogenesis-Glycolysis","Glycolysis","PGK, pgk","phosphoglycerate kinase ",""
"116","K00927","PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]","Pathway module","Energy metabolism","Carbon fixation","Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P","C metabolism","Calvin cycle","Calvin cycle","PGK, pgk","phosphoglycerate kinase ",""
"117","K00927","PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]","Pathway module","Energy metabolism","Carbon fixation","Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P","C metabolism","Gluconeogenesis-Glycolysis","Gluconeogenesis","PGK, pgk","phosphoglycerate kinase ",""
"118","K00927","PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]","Pathway module","Energy metabolism","Carbon fixation","Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P","C metabolism","Gluconeogenesis-Glycolysis","Glycolysis","PGK, pgk","phosphoglycerate kinase ",""
"119","K00927","PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate","C metabolism","Calvin cycle","Calvin cycle","PGK, pgk","phosphoglycerate kinase ",""
"120","K00927","PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate","C metabolism","Gluconeogenesis-Glycolysis","Gluconeogenesis","PGK, pgk","phosphoglycerate kinase ",""
"121","K00927","PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate","C metabolism","Gluconeogenesis-Glycolysis","Glycolysis","PGK, pgk","phosphoglycerate kinase ",""
"122","K00927","PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Glycolysis, core module involving three-carbon compounds","C metabolism","Calvin cycle","Calvin cycle","PGK, pgk","phosphoglycerate kinase ",""
"123","K00927","PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Glycolysis, core module involving three-carbon compounds","C metabolism","Gluconeogenesis-Glycolysis","Gluconeogenesis","PGK, pgk","phosphoglycerate kinase ",""
"124","K00927","PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Glycolysis, core module involving three-carbon compounds","C metabolism","Gluconeogenesis-Glycolysis","Glycolysis","PGK, pgk","phosphoglycerate kinase ",""
"125","K00927","PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Gluconeogenesis, oxaloacetate => fructose-6P","C metabolism","Calvin cycle","Calvin cycle","PGK, pgk","phosphoglycerate kinase ",""
"126","K00927","PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Gluconeogenesis, oxaloacetate => fructose-6P","C metabolism","Gluconeogenesis-Glycolysis","Gluconeogenesis","PGK, pgk","phosphoglycerate kinase ",""
"127","K00927","PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Gluconeogenesis, oxaloacetate => fructose-6P","C metabolism","Gluconeogenesis-Glycolysis","Glycolysis","PGK, pgk","phosphoglycerate kinase ",""
"128","K00927","PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P","C metabolism","Calvin cycle","Calvin cycle","PGK, pgk","phosphoglycerate kinase ",""
"129","K00927","PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P","C metabolism","Gluconeogenesis-Glycolysis","Gluconeogenesis","PGK, pgk","phosphoglycerate kinase ",""
"130","K00927","PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P","C metabolism","Gluconeogenesis-Glycolysis","Glycolysis","PGK, pgk","phosphoglycerate kinase ",""
"131","K00927","PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]","Pathway module","Carbohydrate and lipid metabolism","Other carbohydrate metabolism","D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P","C metabolism","Calvin cycle","Calvin cycle","PGK, pgk","phosphoglycerate kinase ",""
"132","K00927","PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]","Pathway module","Carbohydrate and lipid metabolism","Other carbohydrate metabolism","D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P","C metabolism","Gluconeogenesis-Glycolysis","Gluconeogenesis","PGK, pgk","phosphoglycerate kinase ",""
"133","K00927","PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]","Pathway module","Carbohydrate and lipid metabolism","Other carbohydrate metabolism","D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P","C metabolism","Gluconeogenesis-Glycolysis","Glycolysis","PGK, pgk","phosphoglycerate kinase ",""
"134","K16777","NEURL4; neuralized-like protein 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","K00600","glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]","Pathway module","Energy metabolism","Methane metabolism","Formaldehyde assimilation, serine pathway",NA,NA,NA,NA,NA,NA
"136","K00600","glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]","Pathway module","Carbohydrate and lipid metabolism","Other carbohydrate metabolism","Photorespiration",NA,NA,NA,NA,NA,NA
"137","K00600","glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]","Pathway module","Nucleotide and amino acid metabolism","Cofactor and vitamin biosynthesis","C1-unit interconversion, prokaryotes",NA,NA,NA,NA,NA,NA
"138","K00600","glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]","Pathway module","Nucleotide and amino acid metabolism","Cofactor and vitamin biosynthesis","C1-unit interconversion, eukaryotes",NA,NA,NA,NA,NA,NA
"139","K11981","RNF41, NRDP1; E3 ubiquitin-protein ligase NRDP1 [EC:2.3.2.27]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","K02599","NOTCH1; Notch 1","Functional set","Environmental information processing","Cell signaling","Notch signaling",NA,NA,NA,NA,NA,NA
"141","K12829","SF3B2, SAP145, CUS1; splicing factor 3B subunit 2","Structural complex","Genetic information processing","Spliceosome","Spliceosome, U2-snRNP",NA,NA,NA,NA,NA,NA
"142","K16750","BLOC1S2; biogenesis of lysosome-related organelles complex 1 subunit 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","K10590","TRIP12; E3 ubiquitin-protein ligase TRIP12 [EC:2.3.2.26]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
